"""Start from RM20""...",neutral
????????,neutral
????????,neutral
????????RM20 only for Asian  Rm40 for other...... Acceptable......,positive
20rm saja,positive
A burden to Malaysian,negative
Aaron Eger FYI,neutral
Aayush Bhargava,neutral
Adoi..,negative
Ahhhh isn't this and the 6% digital entertainment tax better than GST?  #malaysiabaru,positive
Ahmad Maslan....... Help.... Help,negative
Ahmad Shamiri,neutral
Aiman Risham,neutral
ajhh sudah,negative
Akshay Soundara-Rajan Scanllon Tan,neutral
Ali Hussnain Awan,neutral
All I have to say is to thank Dr Ogun for his mercy and original herbal medicine he sent to me to cure my herpes. Today my wife is happy with me that I??m now negative. I fully recommend him to you all.. visit his instagram page (drogun_zabaza) and Cure yourself today,neutral
All the one's adding here on PH government are normaly the BN Dogs... Simple,neutral
Amelia Khor,neutral
Amir Syahmi,neutral
Amira Majelan,neutral
And yet you still can't collect fines from foreign vehicle leaving the country. Especially those start with s plate.,negative
Andrew Balang Koh ????,neutral
Andrew Teng,neutral
Andy Wong,neutral
Another bloods sucking ideas by PH.??????????,negative
Any charges for breathing?,negative
anything to make money these days...,neutral
A'peace Avianiac hello darkness my old friend,neutral
Asalkan tiada caj klu pi Sarawak atau Sabah,neutral
Ask him how many million he has in the bank,neutral
"Bastards. It should be Rakyat friendly government by reducing the cost of travelling You fellows are not fulfilling the promises as you made in GE14. No wonder Najib is using the tag line "" BOSSKU""!!!..",negative
Before the next election the Rakyat will sucking by PH until dry up .,negative
Benedict Yu,neutral
Bernie Cheah,neutral
Blame the previous Govt. for creating this mess,neutral
BN rule..not happy...PH rule..not happy...waiting for ISIS to rule??,neutral
boycott saja la apa susah... tunggu tu airport tutup lo,negative
Burden the Rakyat ?? what the hell we voted them ??? What else to pay ?? Maybe need to pay living cost also next?? Veronica Anandhan this is why I said New Malaysia.. keep increasing everything that??s y .,negative
But if u pollute the river u will be fined 15k,negative
Can it be added into our ticket?,neutral
Cancel SST...go back GST but at lower rate say..3%...so less work on different kind of tax.,neutral
cars lorries ferries motorcycles also ah,neutral
cc Amreeta Kaur Cherry Evangelyn Tham,neutral
Cc Nik Noorsyafiqah,neutral
Chandhi Roshen,neutral
Charge it to the foreigners lah. Those singaporeans bruneians with their currency triple times higher than us with tons of money coming in n out of Msia. Those who you should tax the most. Want to tax msians some more kah? We r coughing blood already.,negative
Collecting tax from us why not think of others way to collect money? Help us raise the economy not take money from us bro.,negative
Comments Alyssa Mae WongBrennan Chiang,neutral
